0.44198173,Shiatsu: semantic-based hierarchical automatic tagging of videos by segmentation using cuts,1
0.20508823,Automatic Classification of Tennis Video for High-level Content-based Retrieval,1
0.20451044,Content redundancy in YouTube and its application to video tagging,1
0.18069626,Surfing on artistic documents with visually assisted tagging,0
0.16669503,Multimedia ontology learning for automatic annotation and video browsing,1
0.14218071,Experiences of semantic tagging with Tilkut,1
0.14029978,Automatic tag expansion using visual similarity for photo sharing websites,1
0.13615966,Hidden Markov models for automatic annotation and content-based retrieval of images and video,1
0.13161625,Experiential meeting system,0
0.09353319,MonuAnno: automatic annotation of georeferenced landmarks images,0
0.08158553,Semantic Web for Content Based Video Retrieval,1
0.08029265,A survey of semantic image and video annotation tools,1
0.07350587,A video retrieval system for electrical safety education based on a mobile agent,1
0.06966166,Online multi-label active annotation: towards large-scale content-based video search,1
0.06730381,A scalable and extensible segment-event-object-based sports video retrieval system,1
0.059560534,Video Annotation for Content-based Retrieval using Human Behavior Analysis and Domain Knowledge,1
0.05809509,Personalized video adaptation based on video content analysis,1
0.056299306,Film Video Modeling,1
0.050724596,CLOVIS: towards precision-oriented text-based video retrieval through the unification of automatically-extracted concepts and relations of the visual and audio/speech contents,1
0.04864885,Graph aggregation based image modeling and indexing for video annotation,1
0.047300644,Towards effective video annotation: An approach to automatically link notes with video content,1
0.046571326,Relevance feedback strategies for artistic image collections tagging,0
0.044368062,Learning ontology for personalized video retrieval,1
0.04416246,Visual video retrieval system using MPEG-7 descriptors,1
0.042270042,VFerret: content-based similarity search tool for continuous archived video,0
0.040231243,Optimizing multi-graph learning: towards a unified video annotation scheme,1
0.038446285,An annotation method and application for video contents based on a semantic graph,1
0.03583798,Automatic creation of photo books from stories in social media,1
0.03422379,Video-Based sign language content annotation by incorporation of MPEG-7 standard,1
0.03235316,State-of-the-art on spatio-temporal information-based video retrieval,1
0.032184996,Extracting Motion Annotations from MPEG-2 Compressed Video for HDTV Content Management Applications,1
0.029349435,A web-based system for collaborative annotation of large image and video collections: an evaluation and user study,1
0.028670385,Automatic annotation of multimedia content by user clickthroughs: enhancing the performance of multimedia search engines,1
0.018345647,Knowledge-Supported Segmentation and Semantic Contents Extraction from MPEG Videos for Highlight-Based Annotation, Indexing and Retrieval,1
0.015677221,Model-based analysis of flow-mediated dilation and intima-media thickness,0
0.008959495,A usability study of a mobile content sharing system,1
0.008869448,How do you feel about "dancing queen"?: deriving mood And theme annotations from user tags,1
0.004701268,Browsing personal digital photograph collections with spatial and temporal based ontology and MPEG-7 dozen dimensional digital content architecture,1
0.0037610142,Concept based interactive retrieval for social environment,0
0.0033293439,Beyond search: Event-driven summarization for web videos,1
0.0023542016,Active learning in multimedia annotation and retrieval: A survey,1
